office,lat,lon
Post Office - Wardan,30.071433,31.185225
Post Office - Shoubra Misr,30.071627,31.2452662
Post Office - Mahmasha,30.0722,31.2615
Post Office - El Gharbeya Traffic Station,30.072914,31.201075
Post Office - 6th Of October Panorama,30.0753695,31.3045345
Post Office - Nasr City,30.0756687,31.3159211
Ain Shams Distribution Post Office,30.075807,31.281116
Post Office - Bani Salama,30.0759974,31.2316291
Post Office - El Mazloum Housing,30.076015,31.256843
Post Office - Cairo University,30.076292,31.208903
Post Office - El Afdal,30.0766636,31.2517772
Post Office - El Omal City,30.0776282,31.2188137
Post Office - Central Auditing Organization,30.0777502,31.3143796
Post Office - Abou Galal,30.0779032,31.2188156
Post Office - Administrative Control,30.078376,31.339532
Post Office - Central Agency For Public Mobilization & Statistics,30.0789655,31.3156686
Post Office - Kafr Hakim,30.079117,31.116381
Post Office - Almaza Camp,30.079247,31.367845
Post Office - El Baragil,30.0792683,31.1590884
Post Office - Dawaran Shoubra,30.0799,31.243
Post Office - Khaled Ibn El Walid,30.0799742,31.2679631
Post Office - Ibn El Rashid,30.0805881,31.2454069
Post Office - Abou Ghaleb,30.0809578,31.2022084
Post Office - Hadaek Shoubra,30.081385,31.2449962
Post Office - Shandoura,30.0814215,31.2854381
Post Office - El Monira 2,30.081666,31.214464
Post Office - Road El Farag,30.0831641,31.2342229
Post Office - El Sahel Hospital,30.084021,31.241909
Post Office - El Amireya Public Bldgs.,30.0840739,31.248667
Post Office - Ard Aziz Ezzat,30.0844976,31.2383852
Post Office - Hadaeq El Qobba,30.0852935,31.2829668
Post Office - Bashteel El Balad,30.0854252,31.1874272
Post Office - Republican Palace,30.0857912,31.2783728
Post Office - Ezbet El Khamaysa,30.0860376,31.2570285
